"id";"title";"goodreads_book_id";"best_book_id";"work_id";"books_count";"original_publication_year";"author_id";"isbn";"isbn13";"language_code";"likes";"image_url";"small_image_url";"genre_id";"dislikes"
5001;"High School Debut, Vol. 01 (High School Debut, #1)";1896346;1896346;1897914;9;"2004.0";4487;"1421514818";"9.78142151482e+12";"en-GB";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";14;0
5002;"The Martian";18007564;18007564;21825181;148;"2012.0";2408;"804139024";"9.78080413902e+12";"eng";423344;"https://images.gr-assets.com/books/1413706054m/18007564.jpg";"https://images.gr-assets.com/books/1413706054s/18007564.jpg";3;4231020
5003;"Just for You (Little Critter)";386234;386234;375913;8;"1975.0";4175;"030711838X";"9.78030711839e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";12;0
5004;"Amazonia";294047;294047;2492953;46;"2002.0";3460;"60002492";"9.7800600025e+12";"eng";0;"https://images.gr-assets.com/books/1440044334m/294047.jpg";"https://images.gr-assets.com/books/1440044334s/294047.jpg";10;0
5005;"Feeling Good: The New Mood Therapy";46674;46674;1892311;42;"1980.0";4488;"380810336";"9.78038081034e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";14;0
5006;"Blue Smoke";114184;114184;1553106;80;"2005.0";2831;"515141399";"9.7805151414e+12";"eng";0;"https://images.gr-assets.com/books/1309286007m/114184.jpg";"https://images.gr-assets.com/books/1309286007s/114184.jpg";12;0
5007;"Predator (Kay Scarpetta, #14)";6528;6528;947822;74;"2005.0";2629;"425210278";"9.78042521028e+12";"en-US";0;"https://images.gr-assets.com/books/1310552145m/6528.jpg";"https://images.gr-assets.com/books/1310552145s/6528.jpg";12;0
5008;"Codependent No More: How to Stop Controlling Others and Start Caring for Yourself";720298;720298;706540;40;"1986.0";4489;"894864025";"9.78089486402e+12";"";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";8;0
5009;"Oblomov";254308;254308;1192093;288;"1859.0";4490;"1933480092";"9.78193348009e+12";"eng";0;"https://images.gr-assets.com/books/1456384296m/254308.jpg";"https://images.gr-assets.com/books/1456384296s/254308.jpg";5;0
5010;"Inca Gold (Dirk Pitt, #12)";198332;198332;191850;70;"1994.0";3234;"743426800";"9.7807434268e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";5;0
5011;"Delicious!";18167006;18167006;25533215;27;"2014.0";3932;"1400069629";"9.78140006962e+12";"eng";0;"https://images.gr-assets.com/books/1404478598m/18167006.jpg";"https://images.gr-assets.com/books/1404478598s/18167006.jpg";8;0
5012;"NurtureShock: New Thinking About Children";6496815;6496815;6688299;39;"2008.0";4491;"446504122";"9.78044650413e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";10;0
5013;"Wild Fire (John Corey, #4)";1849;1849;2834249;59;"2006.0";3236;"044657967X";"9.78044657967e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";17;0
5014;"Two Little Girls in Blue";154423;154423;1612722;73;"2006.0";3736;"743497295";"9.7807434973e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";3;0
5015;"Daughter of the Empire (The Empire Trilogy, #1)";589979;589979;2960453;36;"1987.0";3144;"055327211X";"9.78055327212e+12";"eng";0;"https://images.gr-assets.com/books/1404668411m/589979.jpg";"https://images.gr-assets.com/books/1404668411s/589979.jpg";1;0
5016;"Everlost (Skinjacker, #1)";688191;688191;674547;35;"2006.0";2728;"689872372";"9.78068987237e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";9;0
5017;"Dreams of a Dark Warrior (Immortals After Dark #11)";8534799;8534799;13402106;23;"2011.0";3776;"1439136807";"9.7814391368e+12";"en-US";0;"https://images.gr-assets.com/books/1285724086m/8534799.jpg";"https://images.gr-assets.com/books/1285724086s/8534799.jpg";9;0
5018;"Theodore Boone: Kid Lawyer (Theodore Boone, #1)";7824997;7824997;10872266;63;"2010.0";2368;"142428698";"9.7801424287e+12";"eng";0;"https://images.gr-assets.com/books/1275094812m/7824997.jpg";"https://images.gr-assets.com/books/1275094812s/7824997.jpg";12;0
5019;"Jimmy Corrigan, the Smartest Kid on Earth";34072;34072;1315;17;"2000.0";4492;"224063979";"9.78022406398e+12";"";0;"https://images.gr-assets.com/books/1327962921m/34072.jpg";"https://images.gr-assets.com/books/1327962921s/34072.jpg";7;0
5020;"A Year Down Yonder (A Long Way from Chicago, #2)";39980;39980;39678;30;"2000.0";4137;"142300705";"9.7801423007e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";1;0
5021;"Own the Wind (Chaos, #1)";16163690;16163690;22006731;10;"2013.0";3789;"";"";"eng";0;"https://images.gr-assets.com/books/1358119230m/16163690.jpg";"https://images.gr-assets.com/books/1358119230s/16163690.jpg";16;0
5022;"Marina";4516;4516;1882717;106;"1999.0";2484;"8423648990";"9.78842364899e+12";"spa";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";12;0
5023;"My Name Is Memory";7135858;7135858;7399114;46;"2010.0";2394;"1594487588";"9.78159448758e+12";"eng";0;"https://images.gr-assets.com/books/1307512606m/7135858.jpg";"https://images.gr-assets.com/books/1307512606s/7135858.jpg";5;0
5024;"Written on the Body";15054;15054;809754;37;"1992.0";3615;"679744479";"9.78067974447e+12";"en-US";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";12;0
5025;"Tiger's Voyage (The Tiger Saga, #3)";7849341;7849341;10966836;42;"2011.0";3649;"1450595987";"9.78145059599e+12";"eng";0;"https://images.gr-assets.com/books/1320459742m/7849341.jpg";"https://images.gr-assets.com/books/1320459742s/7849341.jpg";2;0
5026;"Dead and Alive (Dean Koontz's Frankenstein, #3)";605015;605015;591569;33;"2009.0";2546;"7203116";"9.78000720312e+12";"eng";0;"https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png";"https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png";13;0
